City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
219,Dunedin,NZ,-45.8742,170.5036,60.01,77,0,24.0,clear sky
220,Ribeira Grande,PT,38.5167,-28.7,61.14,88,100,23.58,overcast clouds
221,Faanui,PF,-16.4833,-151.75,82.89,65,0,8.75,clear sky
222,Omsukchan,RU,62.5333,155.8,-4.02,86,100,7.23,overcast clouds
223,Hami,CN,42.8,93.45,30.76,76,100,6.31,overcast clouds
224,Igrim,RU,63.1906,64.4162,-18.72,88,100,14.97,light snow
225,Matadi,CD,-5.8167,13.45,77.54,90,100,4.43,overcast clouds
226,Biggar,GB,55.6167,-3.5167,35.01,49,100,8.01,overcast clouds
227,Atkinson,US,42.8384,-71.147,30.0,67,0,1.99,clear sky
228,Nikolskoye,RU,59.7035,30.7861,10.4,85,90,20.13,snow
229,Loubomo,CG,-4.1997,12.6739,73.69,95,100,5.79,moderate rain
230,Calama,CL,-22.4667,-68.9333,62.6,45,0,16.11,clear sky
231,Saldanha,ZA,-33.0117,17.9442,64.4,88,0,6.91,clear sky
232,Lata,PT,40.1629,-8.3327,50.0,83,41,3.0,scattered clouds
233,Bismarck,US,46.8083,-100.7837,-5.8,59,1,6.91,clear sky
234,Ilhabela,BR,-23.7781,-45.3581,71.87,78,9,2.8,clear sky
235,Severo-Kurilsk,RU,50.6789,156.125,23.09,92,94,18.12,light snow
236,Loikaw,MM,19.6742,97.2094,64.72,59,66,2.1,broken clouds
237,Colares,PT,38.7992,-9.4469,52.0,76,12,20.0,few clouds
238,La Ronge,CA,55.1001,-105.2842,-23.8,62,74,5.75,broken clouds
239,Vestmannaeyjar,IS,63.4427,-20.2734,39.18,72,0,27.63,clear sky
240,Cortes,ES,41.9395,-1.4396,46.99,81,26,9.22,scattered clouds
241,Norman Wells,CA,65.282,-126.8329,-27.4,68,75,2.3,broken clouds
242,Tambun,ID,-6.2641,107.0712,82.99,89,75,4.61,haze
243,Souillac,MU,-20.5167,57.5167,77.0,83,40,4.61,scattered clouds
244,Mahebourg,MU,-20.4081,57.7,77.0,83,40,4.61,light rain
245,Egvekinot,RU,66.3167,-179.1667,-3.57,78,0,6.51,clear sky
246,Flic En Flac,MU,-20.2742,57.3631,77.0,83,40,4.61,scattered clouds
247,Namatanai,PG,-3.6667,152.4333,86.18,62,99,5.37,overcast clouds
248,Seini,RO,47.75,23.2833,41.0,93,75,4.61,drizzle
249,Kailua,US,21.4022,-157.7394,77.0,47,1,10.36,clear sky
250,Tanete,ID,-3.9443,119.7848,85.19,67,100,5.55,overcast clouds
251,Adeje,ES,28.1227,-16.726,61.0,72,20,8.05,few clouds
252,Vostok,RU,46.4856,135.8833,-5.69,89,100,3.09,overcast clouds
253,Gulbene,LV,57.1777,26.7529,0.16,94,50,4.5,scattered clouds
254,Matara,LK,5.9485,80.5353,73.67,89,30,4.76,scattered clouds
255,Dingle,PH,10.9995,122.6711,80.51,82,71,13.96,broken clouds
256,Pleshanovo,RU,52.8333,53.4833,1.38,92,100,13.96,overcast clouds
257,Marawi,PH,7.9986,124.2928,81.0,80,49,4.0,scattered clouds
258,Sembakung,ID,3.8167,117.25,80.6,89,75,4.61,broken clouds
259,College,US,64.8569,-147.8028,-4.0,71,90,0.89,light snow
260,Ajra,IN,16.1167,74.2,55.4,62,49,6.91,scattered clouds
261,Ibirama,BR,-27.0569,-49.5178,68.0,83,1,2.51,clear sky
262,Bambous Virieux,MU,-20.3428,57.7575,77.0,83,40,4.61,scattered clouds
263,Kazachinskoye,RU,57.6953,93.2761,24.89,97,100,7.31,overcast clouds
264,Kudahuvadhoo,MV,2.6708,72.8944,80.87,79,0,14.18,clear sky
265,Suriapet,IN,17.15,79.6167,61.47,90,74,2.64,broken clouds
266,Challans,FR,46.8436,-1.8749,37.4,93,0,1.14,clear sky
267,Teahupoo,PF,-17.8333,-149.2667,86.0,58,20,13.8,light rain
268,Husavik,IS,66.0449,-17.3389,33.8,69,75,5.75,broken clouds
269,Sahaspur,IN,29.1333,78.6167,48.69,70,0,7.29,clear sky
270,Skjervoy,NO,70.0311,20.9714,30.47,93,100,20.45,light snow
271,Kenai,US,60.5544,-151.2583,18.0,92,90,4.61,mist
272,Sao Filipe,CV,14.8961,-24.4956,69.98,73,18,15.7,few clouds
273,Patan,NP,27.6667,85.3333,35.6,100,20,3.44,mist
274,Kaitangata,NZ,-46.2817,169.8464,64.99,73,5,10.0,clear sky
275,Chingirlau,KZ,51.095,54.0814,9.99,95,100,14.0,overcast clouds
276,Brandfort,ZA,-28.7001,26.4597,60.8,88,94,6.91,overcast clouds
277,Tanout,NE,14.9709,8.8879,61.47,26,46,10.67,scattered clouds
278,Koumac,NC,-20.5667,164.2833,83.82,57,11,5.97,few clouds
279,Melilla,ES,35.2937,-2.9383,55.4,71,0,8.05,clear sky
280,Guerrero Negro,MX,27.9769,-114.0611,65.89,47,0,12.28,clear sky
281,Tonj,SS,7.2737,28.6822,64.83,25,0,6.13,clear sky
282,Imbituba,BR,-28.24,-48.6703,73.4,68,0,3.44,clear sky
283,Monte Patria,CL,-30.6919,-70.9467,64.09,54,0,2.13,clear sky
284,Constitucion,CL,-35.3333,-72.4167,57.42,87,34,4.88,scattered clouds
285,Goure,NE,13.9835,10.2704,66.0,17,100,5.99,overcast clouds
286,Richards Bay,ZA,-28.783,32.0377,72.88,86,6,9.42,clear sky
287,Makakilo City,US,21.3469,-158.0858,78.8,44,1,14.97,clear sky
288,Lapua,FI,62.9693,23.0088,17.01,99,93,1.99,overcast clouds
289,Anadyr,RU,64.75,177.4833,-9.0,84,22,8.95,mist
290,Abnub,EG,27.2696,31.1511,53.6,82,0,5.75,clear sky
291,Inhambane,MZ,-23.865,35.3833,76.69,88,100,6.82,overcast clouds
292,Lazaro Cardenas,MX,17.9583,-102.2,75.38,72,0,3.31,clear sky
293,Bima,ID,-8.4667,118.7167,84.0,73,8,1.66,clear sky
294,Umm Lajj,SA,25.0213,37.2685,68.41,47,0,16.22,clear sky
295,Tura,IN,25.5198,90.2201,57.83,62,100,1.92,overcast clouds
296,Georgetown,MY,5.4112,100.3354,80.6,83,20,2.3,few clouds
297,Micheweni,TZ,-4.9667,39.8333,80.33,77,96,6.98,overcast clouds
298,Independence,US,39.0911,-94.4155,17.01,92,90,13.8,overcast clouds
299,Bethel,US,41.3712,-73.414,30.99,59,1,5.14,clear sky
